camera,status,num_composition,num_compostition_camera,last_time_check_on_camera,last_lat_on_camera,last_lon_on_camera,vendor
tv_ngpt_tram_vitaz_31111_3,+,31111,3,2023-02-27 07:53:02.303000,55.78302833333334,37.73851,tv
tv_ngpt_tram_vitaz_31111_4,+,31111,4,2023-02-27 07:53:08.175000,55.78302833333334,37.73851,tv
tv_ngpt_tram_vitaz_31111_5,+,31111,5,2023-02-27 07:49:19.758000,55.782315,37.72215166666667,tv
tv_ngpt_tram_vitaz_31111_6,+,31111,6,2023-02-27 07:49:49.929000,55.782381666666666,37.72371666666666,tv
tv_ngpt_tram_vitaz_31112_1,+,31112,1,2023-02-26 17:49:41.170000,55.83307166666667,37.64443666666667,tv
tv_ngpt_tram_vitaz_31112_2,+,31112,2,2023-02-26 17:44:25.797000,55.83307166666667,37.64443666666667,tv
tv_ngpt_tram_vitaz_31112_3,+,31112,3,2023-02-25 23:05:19.495000,55.82902333333333,37.64889,tv
tv_ngpt_tram_vitaz_31112_4,+,31112,4,2023-02-26 13:55:51.690000,55.83341,37.64474833333334,tv
tv_ngpt_tram_vitaz_31112_5,+,31112,5,2023-02-26 14:01:30.924000,55.83350833333334,37.644756666666666,tv
tv_ngpt_tram_vitaz_31112_6,+,31112,6,2023-02-26 15:32:12.202000,55.833558333333336,37.64481666666666,tv
tv_ngpt_tram_vitaz_31113_1,+,31113,1,2023-02-27 09:20:54.118000,55.784434,37.606281,tv
tv_ngpt_tram_vitaz_31113_2,+,31113,2,2023-02-27 09:28:44.013000,55.780837000000005,37.592023000000005,tv
tv_ngpt_tram_vitaz_31113_3,+,31113,3,2023-02-27 09:22:44.417000,55.785202,37.602208000000005,tv
tv_ngpt_tram_vitaz_31113_4,+,31113,4,2023-02-27 09:27:32.254000,55.78350699999999,37.596063,tv
tv_ngpt_tram_vitaz_31113_5,+,31113,5,2023-02-27 09:27:37.116000,55.78350699999999,37.596063,tv
tv_ngpt_tram_vitaz_31113_6,+,31113,6,2023-02-27 09:28:45.359000,55.780844,37.592022,tv
tv_ngpt_tram_vitaz_31114_1,+,31114,1,2023-02-27 08:44:06.572000,55.79193833333333,37.67934666666667,tv
tv_ngpt_tram_vitaz_31114_2,+,31114,2,2023-02-27 09:11:12.033000,55.82386,37.63836,tv
